Total_words: 3078 
Word	Word_Count
('Promotions', 'MaxPoint')	2	
('algorithms', 'predictive')	2	
('Ability', 'write')	2	
('CS', 'applied')	2	
('biomedical', 'engineering')	2	
('recruiting', 'position')	2	
('extract', 'process')	2	
('Analysis', 'Building')	2	
('Permanent', 'Resident')	2	
('CyberCoders', 'Log')	2	
('Knowledge', 'map')	2	
('required', 'complete')	2	
('often', 'messy')	2	
('quantitative', 'field')	2	
('Hong', 'Kong')	2	
('United', 'Documents')	2	
('predictive', 'models')	2	
('feature', 'selection')	2	
('across', 'existing')	2	
('versed', 'UNIX')	2	
('using', 'CyberCoders')	2	
('years', 'working')	2	
('Optimization', 'Data')	2	
('Solutions', 'Foot')	2	
('day', 'employment')	2	
('Brett', 'Wilson')	2	
('Documents', 'presented')	2	
('large', 'datasets')	2	
('working', 'relational')	2	
('Entertainment', 'Stories')	2	
('Data', 'Analytics')	2	
('Knowledge', 'Knowledge')	2	
('Eligibility', 'Verification')	2	
('integral', 'part')	2	
('hive', 'pig')	2	
('Coordinate', 'data')	2	
('SQL', 'queries')	2	
('Care', 'Entertainment')	2	
('later', 'third')	2	
('disciplinary', 'team')	2	
('models', 'solve')	2	
('Foot', 'Traffic')	2	
('data', 'complex')	2	
('point', 'sale')	2	
('informative', 'visualizations')	2	
('sourcing', 'collecting')	2	
('proprietary', 'sources')	2	
('government', 'open')	2	
('complex', 'relationships')	2	
('managers', 'engineers')	2	
('requirements', 'analytics')	2	
('acceptable', 'original')	2	
('new', 'data')	2	
('research', 'academic')	2	
('systems', 'plus')	2	
('tools', 'clean')	2	
('form', '9')	2	
('Highly', 'motivated')	2	
('Days', 'Last')	2	
('Failure', 'result')	2	
('hired', 'required')	2	
('awk', 'etc')	2	
('conducting', 'biomedical')	2	
('business', 'problems')	2	
('UT', 'Direct')	2	
('software', 'prefer')	2	
('accessing', 'data')	2	
('Resource', 'Service')	2	
('Data', 'Processing')	2	
('intuitively', 'display')	2	
('Insights', 'Guides')	2	
('datasets', 'Coursework')	2	
('Solutions', 'Solutions')	2	
('informatics', 'research')	2	
('Gumtree', 'Kijiji')	2	
('Senior', 'Healthcare')	2	
('statistics', 'economics')	2	
('employer', 'Non')	2	
('Industries', 'Industries')	2	
('data', 'help')	2	
('Austin', 'Texas')	2	
('visible', 'role')	2	
('interface', 'huge')	2	
